timestamp,logicalClock,event,queueLength,to
2023-03-08T18:44:10.494Z,1,process,0,
2023-03-08T18:44:10.828Z,3,process,1,
2023-03-08T18:44:11.160Z,4,process,2,
2023-03-08T18:44:11.495Z,5,process,3,
2023-03-08T18:44:11.829Z,7,process,4,
2023-03-08T18:44:12.161Z,9,process,4,
2023-03-08T18:44:12.496Z,10,process,5,
2023-03-08T18:44:12.831Z,11,process,5,
2023-03-08T18:44:13.163Z,12,process,5,
2023-03-08T18:44:13.498Z,14,process,6,
2023-03-08T18:44:13.832Z,16,process,6,
2023-03-08T18:44:14.166Z,18,process,7,
2023-03-08T18:44:14.500Z,21,process,6,
2023-03-08T18:44:14.835Z,24,process,7,
2023-03-08T18:44:15.169Z,26,process,7,
2023-03-08T18:44:15.505Z,28,process,7,
2023-03-08T18:44:15.839Z,30,process,8,
2023-03-08T18:44:16.174Z,32,process,8,
2023-03-08T18:44:16.508Z,33,process,8,
2023-03-08T18:44:16.843Z,36,process,8,
2023-03-08T18:44:17.178Z,37,process,9,
2023-03-08T18:44:17.510Z,39,process,10,
2023-03-08T18:44:17.843Z,41,process,11,
2023-03-08T18:44:18.176Z,44,process,12,
2023-03-08T18:44:18.509Z,46,process,11,
2023-03-08T18:44:18.843Z,50,process,10,
2023-03-08T18:44:19.176Z,53,process,10,
2023-03-08T18:44:19.510Z,56,process,11,
2023-03-08T18:44:19.844Z,58,process,11,
2023-03-08T18:44:20.179Z,60,process,10,
2023-03-08T18:44:20.512Z,62,process,10,
2023-03-08T18:44:20.846Z,63,process,10,
2023-03-08T18:44:21.179Z,64,process,10,
2023-03-08T18:44:21.512Z,65,process,10,
2023-03-08T18:44:21.850Z,67,process,11,
2023-03-08T18:44:22.182Z,68,process,12,
2023-03-08T18:44:22.515Z,74,process,12,
2023-03-08T18:44:22.849Z,76,process,12,
2023-03-08T18:44:23.181Z,77,process,13,
2023-03-08T18:44:23.514Z,78,process,13,
2023-03-08T18:44:23.848Z,83,process,13,
2023-03-08T18:44:24.181Z,86,process,14,
2023-03-08T18:44:24.516Z,88,process,13,
2023-03-08T18:44:24.850Z,89,process,14,
2023-03-08T18:44:25.183Z,92,process,13,
2023-03-08T18:44:25.515Z,93,process,14,
2023-03-08T18:44:25.849Z,95,process,15,
2023-03-08T18:44:26.184Z,96,process,15,
2023-03-08T18:44:26.516Z,98,process,15,
2023-03-08T18:44:26.850Z,101,process,14,
2023-03-08T18:44:27.183Z,103,process,14,
2023-03-08T18:44:27.528Z,104,process,14,
2023-03-08T18:44:27.864Z,105,process,15,
2023-03-08T18:44:28.197Z,109,process,15,
2023-03-08T18:44:28.531Z,110,process,15,
2023-03-08T18:44:28.866Z,112,process,14,
2023-03-08T18:44:29.199Z,115,process,14,
2023-03-08T18:44:29.533Z,116,process,14,
2023-03-08T18:44:29.867Z,120,process,15,
2023-03-08T18:44:30.202Z,121,process,15,
2023-03-08T18:44:30.535Z,122,process,16,
2023-03-08T18:44:30.869Z,124,process,16,
2023-03-08T18:44:31.204Z,125,process,15,
2023-03-08T18:44:31.539Z,129,process,16,
2023-03-08T18:44:31.871Z,132,process,17,
2023-03-08T18:44:32.205Z,135,process,17,
2023-03-08T18:44:32.540Z,137,process,18,
2023-03-08T18:44:32.874Z,138,process,19,
2023-03-08T18:44:33.207Z,139,process,20,
2023-03-08T18:44:33.541Z,142,process,20,
2023-03-08T18:44:33.875Z,147,process,21,
2023-03-08T18:44:34.209Z,150,process,21,
2023-03-08T18:44:34.542Z,151,process,21,
2023-03-08T18:44:34.876Z,153,process,20,
2023-03-08T18:44:35.209Z,154,process,20,
2023-03-08T18:44:35.542Z,156,process,20,
2023-03-08T18:44:35.875Z,157,process,21,
2023-03-08T18:44:36.209Z,160,process,21,
2023-03-08T18:44:36.543Z,163,process,21,
2023-03-08T18:44:36.876Z,164,process,21,
2023-03-08T18:44:37.210Z,166,process,22,
2023-03-08T18:44:37.543Z,168,process,23,
2023-03-08T18:44:37.878Z,170,process,22,
2023-03-08T18:44:38.210Z,172,process,23,
2023-03-08T18:44:38.545Z,174,process,23,
2023-03-08T18:44:38.880Z,175,process,24,
2023-03-08T18:44:39.213Z,176,process,25,
2023-03-08T18:44:39.547Z,177,process,25,
2023-03-08T18:44:39.881Z,178,process,25,
2023-03-08T18:44:40.215Z,180,process,26,
2023-03-08T18:44:40.550Z,182,process,26,
2023-03-08T18:44:40.884Z,183,process,26,
2023-03-08T18:44:41.218Z,185,process,26,
2023-03-08T18:44:41.554Z,187,process,26,
2023-03-08T18:44:41.889Z,192,process,27,
2023-03-08T18:44:42.221Z,195,process,27,
2023-03-08T18:44:42.556Z,197,process,28,
2023-03-08T18:44:42.890Z,198,process,28,
2023-03-08T18:44:43.223Z,200,process,28,
2023-03-08T18:44:43.557Z,202,process,28,
2023-03-08T18:44:43.891Z,206,process,29,
2023-03-08T18:44:44.224Z,207,process,29,
2023-03-08T18:44:44.562Z,209,process,30,
2023-03-08T18:44:44.896Z,211,process,31,
2023-03-08T18:44:45.228Z,213,process,32,
2023-03-08T18:44:45.561Z,217,process,31,
2023-03-08T18:44:45.895Z,218,process,31,
